query_export_key	query_node_id	query_feature_id	query_featurelist_feature_id	query_scans	query_label	query_raw_name	hit_rank	hit_spectral_score	hit_matches	hit_precursor_mz	hit_raw_name	hit_CHARGE	hit_COLLISION_ENERGY	hit_FEATURELIST_FEATURE_ID	hit_FEATURE_ID	hit_FEATURE_MS1_HEIGHT	hit_FILENAME	hit_FRAGMENTATION_METHOD	hit_IONMODE	hit_ISOLATION_WINDOW	hit_MERGED_ACROSS_N_SAMPLES	hit_MSLEVEL	hit_NUM PEAKS	hit_PEPMASS	hit_RTINSECONDS	hit_SCANS	hit_SOURCE_SCAN_USI	hit_SPECTYPE
11	10	11	Aligned feature list peak gap-filled:11	11	n11	11	3	0.99459094	22	167.013350	859	1	[30.0]	Aligned feature list peak gap-filled:859	859	1.05E7	20260209_CVOL_mapp_02_24_T-Shock.mzML	HCD	POSITIVE	2.0	1	2	41	167.01335	255.90	859	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_T-Shock:3386"]	SINGLE_SCAN
11	10	11	Aligned feature list peak gap-filled:11	11	n11	11	4	0.84003790	28	167.013230	248	1	[30.0]	Aligned feature list peak gap-filled:248	248	6.948E6	20260209_CVOL_mapp_02_24_T-Shock.mzML	HCD	POSITIVE	2.0	1	2	82	167.01323	72.95	248	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_T-Shock:575"]	SINGLE_SCAN
12	11	12	Aligned feature list peak gap-filled:12	12	n12	12	1	1.00000000	110	158.961690	12	1	[30.0]	Aligned feature list peak gap-filled:12	12	2.516E7	20260209_CVOL_mapp_02_24_bl.mzML	HCD	POSITIVE	2.0	1	2	110	158.96169	19.77	12	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_bl:243"]	SINGLE_SCAN
13	12	13	Aligned feature list peak gap-filled:13	13	n13	13	1	1.00000000	42	171.993260	13	1	[30.0]	Aligned feature list peak gap-filled:13	13	9.275E6	20260209_CVOL_mapp_02_24_bl.mzML	HCD	POSITIVE	2.0	1	2	42	171.99326	19.66	13	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_bl:263"]	SINGLE_SCAN
13	12	13	Aligned feature list peak gap-filled:13	13	n13	13	2	0.96935352	28	171.993290	278	1	[30.0]	Aligned feature list peak gap-filled:278	278	5.476E6	20260209_CVOL_mapp_02_24_T-Shock.mzML	HCD	POSITIVE	2.0	1	2	83	171.99329	75.82	278	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_T-Shock:1103"]	SINGLE_SCAN
13	12	13	Aligned feature list peak gap-filled:13	13	n13	13	3	0.92502038	25	171.993520	733	1	[30.0]	Aligned feature list peak gap-filled:733	733	3.051E6	20260209_CVOL_bk_mapp_01.mzML	HCD	POSITIVE	2.0	1	2	53	171.99352	221.25	733	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_bk_mapp_01:2468"]	SINGLE_SCAN
13	12	13	Aligned feature list peak gap-filled:13	13	n13	13	4	0.88300202	25	171.993480	612	1	[30.0]	Aligned feature list peak gap-filled:612	612	3.455E6	20260209_CVOL_mapp_02_24_T-Shock.mzML	HCD	POSITIVE	2.0	1	2	75	171.99348	186.89	612	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_T-Shock:2313"]	SINGLE_SCAN
14	13	14	Aligned feature list peak gap-filled:14	14	n14	14	1	1.00000000	71	276.896670	14	1	[30.0]	Aligned feature list peak gap-filled:14	14	2.396E7	20260209_CVOL_mapp_02_24_bl.mzML	HCD	POSITIVE	2.0	1	2	71	276.89667	21.83	14	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_bl:266"]	SINGLE_SCAN
15	14	15	Aligned feature list peak gap-filled:15	15	n15	15	1	1.00000000	82	304.891560	15	1	[30.0]	Aligned feature list peak gap-filled:15	15	1.448E7	20260209_CVOL_mapp_02_24_bl.mzML	HCD	POSITIVE	2.0	1	2	82	304.89156	21.83	15	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_bl:262"]	SINGLE_SCAN
16	15	16	Aligned feature list peak gap-filled:16	16	n16	16	1	1.00000000	83	404.815820	16	1	[30.0]	Aligned feature list peak gap-filled:16	16	1.863E7	20260209_CVOL_mapp_02_24_bl.mzML	HCD	POSITIVE	2.0	1	2	83	404.81582	21.83	16	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_bl:256"]	SINGLE_SCAN
17	16	17	Aligned feature list peak gap-filled:17	17	n17	17	1	1.00000000	83	186.956430	17	1	[30.0]	Aligned feature list peak gap-filled:17	17	2.943E6	20260209_CVOL_mapp_02_24_bl.mzML	HCD	POSITIVE	2.0	1	2	83	186.95643	22.31	17	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_bl:281"]	SINGLE_SCAN
18	17	18	Aligned feature list peak gap-filled:18	18	n18	18	1	1.00000000	105	176.972280	18		[30.0]	Aligned feature list peak gap-filled:18	18	4.471E6	20260209_CVOL_mapp_02_24_bl.mzML	HCD	POSITIVE	2.0	1	2	105	176.97228	21.19	18	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_bl:268"]	SINGLE_SCAN
19	18	19	Aligned feature list peak gap-filled:19	19	n19	19	1	1.00000000	64	199.988200	19	1	[30.0]	Aligned feature list peak gap-filled:19	19	1.812E7	20260209_CVOL_mapp_02_24_bl.mzML	HCD	POSITIVE	2.0	1	2	64	199.9882	21.51	19	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_bl:257"]	SINGLE_SCAN
19	18	19	Aligned feature list peak gap-filled:19	19	n19	19	2	0.97733386	33	199.988420	688	1	[30.0]	Aligned feature list peak gap-filled:688	688	1.004E7	20260209_CVOL_mapp_02_24_T-Shock.mzML	HCD	POSITIVE	2.0	1	2	74	199.98842	209.12	688	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_T-Shock:2636"]	SINGLE_SCAN
19	18	19	Aligned feature list peak gap-filled:19	19	n19	19	3	0.97147100	31	199.988380	663	1	[30.0]	Aligned feature list peak gap-filled:663	663	9.221E6	20260209_CVOL_mapp_02_24_T-Shock.mzML	HCD	POSITIVE	2.0	1	2	75	199.98838	204.25	663	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_T-Shock:2489"]	SINGLE_SCAN
19	18	19	Aligned feature list peak gap-filled:19	19	n19	19	4	0.96501558	33	199.988490	817	1	[30.0]	Aligned feature list peak gap-filled:817	817	7.584E6	20260209_CVOL_mapp_02_24_T-Shock.mzML	HCD	POSITIVE	2.0	1	2	107	199.98849	240.93	817	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_T-Shock:2792"]	SINGLE_SCAN
19	18	19	Aligned feature list peak gap-filled:19	19	n19	19	5	0.96094705	30	199.988230	251	1	[30.0]	Aligned feature list peak gap-filled:251	251	1.248E7	20260209_CVOL_mapp_02_24_T-Shock.mzML	HCD	POSITIVE	2.0	1	2	84	199.98823	70.84	251	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_T-Shock:814"]	SINGLE_SCAN
19	18	19	Aligned feature list peak gap-filled:19	19	n19	19	6	0.90384880	30	199.988390	1154	1	[30.0]	Aligned feature list peak gap-filled:1154	1154	5.17E6	20260209_CVOL_mapp_02_24_PF.mzML	HCD	POSITIVE	2.0	1	2	64	199.98839	335.31	1154	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_PF:4070"]	SINGLE_SCAN
19	18	19	Aligned feature list peak gap-filled:19	19	n19	19	7	0.90216213	33	199.988260	1197	1	[30.0]	Aligned feature list peak gap-filled:1197	1197	4.325E6	20260209_CVOL_mapp_02_24_bl.mzML	HCD	POSITIVE	2.0	1	2	68	199.98826	357.77	1197	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_bl:4149"]	SINGLE_SCAN
19	18	19	Aligned feature list peak gap-filled:19	19	n19	19	8	0.83539425	29	199.988430	980	1	[30.0]	Aligned feature list peak gap-filled:980	980	6.696E6	20260209_CVOL_mapp_02_24_T-Shock.mzML	HCD	POSITIVE	2.0	1	2	77	199.98843	292.13	980	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_T-Shock:3580"]	SINGLE_SCAN
20	19	20	Aligned feature list peak gap-filled:20	20	n20	20	1	1.00000000	37	274.873840	20	1	[30.0]	Aligned feature list peak gap-filled:20	20	5.899E7	20260209_CVOL_mapp_02_24_Bio.mzML	HCD	POSITIVE	2.0	1	2	37	274.87384	23.09	20	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_Bio:263"]	SINGLE_SCAN
21	20	21	Aligned feature list peak gap-filled:21	21	n21	21	1	1.00000000	55	175.119380	21	1	[30.0]	Aligned feature list peak gap-filled:21	21	6.707E7	20260209_CVOL_mapp_02_24_T-Shock.mzML	HCD	POSITIVE	2.0	1	2	55	175.11938	23.44	21	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_T-Shock:263"]	SINGLE_SCAN
22	21	22	Aligned feature list peak gap-filled:22	22	n22	22	1	1.00000000	100	303.883310	22	1	[30.0]	Aligned feature list peak gap-filled:22	22	4.128E6	20260209_CVOL_mapp_02_24_bl.mzML	HCD	POSITIVE	2.0	1	2	100	303.88331	23.78	22	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_bl:292"]	SINGLE_SCAN
23	22	23	Aligned feature list peak gap-filled:23	23	n23	23	1	1.00000000	31	303.155510	23	1	[30.0]	Aligned feature list peak gap-filled:23	23	4.118E7	20260209_CVOL_mapp_02_24_T-Shock.mzML	HCD	POSITIVE	2.0	1	2	31	303.15551	23.93	23	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_T-Shock:274"]	SINGLE_SCAN
24	23	24	Aligned feature list peak gap-filled:24	24	n24	24	1	1.00000000	79	176.092190	24	1	[30.0]	Aligned feature list peak gap-filled:24	24	1.759E7	20260209_CVOL_mapp_02_24_PF.mzML	HCD	POSITIVE	2.0	1	2	79	176.09219	24.13	24	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_PF:280"]	SINGLE_SCAN
25	24	25	Aligned feature list peak gap-filled:25	25	n25	25	1	1.00000000	68	224.113550	25	1	[30.0]	Aligned feature list peak gap-filled:25	25	6.611E6	20260209_CVOL_mapp_02_24_PF.mzML	HCD	POSITIVE	2.0	1	2	68	224.11355	24.35	25	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_PF:285"]	SINGLE_SCAN
26	25	26	Aligned feature list peak gap-filled:26	26	n26	26	1	1.00000000	16	133.061080	26	1	[30.0]	Aligned feature list peak gap-filled:26	26	3.712E7	20260209_CVOL_mapp_02_24_T-Shock.mzML	HCD	POSITIVE	2.0	1	2	16	133.06108	24.41	26	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_T-Shock:280"]	SINGLE_SCAN
27	26	27	Aligned feature list peak gap-filled:27	27	n27	27	1	1.00000000	54	236.938890	27	1	[30.0]	Aligned feature list peak gap-filled:27	27	4.462E6	20260209_CVOL_mapp_02_24_bl.mzML	HCD	POSITIVE	2.0	1	2	54	236.93889	22.40	27	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_bl:310"]	SINGLE_SCAN
28	27	28	Aligned feature list peak gap-filled:28	28	n28	28	1	1.00000000	49	160.097120	28	1	[30.0]	Aligned feature list peak gap-filled:28	28	4.418E7	20260209_CVOL_mapp_02_24_PF.mzML	HCD	POSITIVE	2.0	1	2	49	160.09712	25.34	28	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_PF:286"]	SINGLE_SCAN
29	28	29	Aligned feature list peak gap-filled:29	29	n29	29	1	1.00000000	41	173.092410	29	1	[30.0]	Aligned feature list peak gap-filled:29	29	5.411E7	20260209_CVOL_mapp_02_24_T-Shock.mzML	HCD	POSITIVE	2.0	1	2	41	173.09241	24.89	29	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_T-Shock:285"]	SINGLE_SCAN
30	29	30	Aligned feature list peak gap-filled:30	30	n30	30	1	1.00000000	40	186.076390	30	1	[30.0]	Aligned feature list peak gap-filled:30	30	2.998E7	20260209_CVOL_mapp_02_24_T-Shock.mzML	HCD	POSITIVE	2.0	1	2	40	186.07639	24.89	30	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_T-Shock:286"]	SINGLE_SCAN
31	30	31	Aligned feature list peak gap-filled:31	31	n31	31	1	1.00000000	71	258.110350	31	1	[30.0]	Aligned feature list peak gap-filled:31	31	4.338E7	20260209_CVOL_mapp_02_24_T-Shock.mzML	HCD	POSITIVE	2.0	1	2	71	258.11035	25.12	31	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_T-Shock:287"]	SINGLE_SCAN
32	31	32	Aligned feature list peak gap-filled:32	32	n32	32	1	1.00000000	74	338.144780	32	1	[30.0]	Aligned feature list peak gap-filled:32	32	2.835E7	20260209_CVOL_mapp_02_24_PF.mzML	HCD	POSITIVE	2.0	1	2	74	338.14478	25.09	32	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_PF:290"]	SINGLE_SCAN
33	32	33	Aligned feature list peak gap-filled:33	33	n33	33	1	1.00000000	44	205.068600	33	1	[30.0]	Aligned feature list peak gap-filled:33	33	2.064E8	20260209_CVOL_mapp_02_24_Bio.mzML	HCD	POSITIVE	2.0	1	2	44	205.0686	25.18	33	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_Bio:314"]	SINGLE_SCAN
34	33	34	Aligned feature list peak gap-filled:34	34	n34	34	1	1.00000000	39	219.026950	34	1	[30.0]	Aligned feature list peak gap-filled:34	34	4.371E7	20260209_CVOL_mapp_02_24_PF.mzML	HCD	POSITIVE	2.0	1	2	39	219.02695	25.18	34	["mzspec:DATASET_ID_PLACEHOLDER:20260209_CVOL_mapp_02_24_PF:288"]	SINGLE_SCAN
